Module	SS	value
M9.26	LC	63.64
M9.26	PS	57.58
M9.26	Zhou	63.64
M9.26	Resnik	45.45
M9.26	Lin	60.61
M9.26	Nunivers	48.48
M9.26	AIC	57.58
M9.26	DAVID	0.0
M8.71	DF	0.00
M8.71	Ganesan	0.00
M8.71	LC	0.00
M8.71	PS	0.00
M8.71	Zhou	0.00
M8.71	Resnik	0.00
M8.71	Lin	0.00
M8.71	Nunivers	0.00
M8.71	AIC	0.00
M8.71	DAVID	0.0
M9.25	DF	52.83
M9.25	Ganesan	52.83
M9.25	LC	54.72
M9.25	PS	54.72
M9.25	Zhou	54.72
M9.25	Resnik	54.72
M9.25	Lin	52.83
M9.25	Nunivers	49.06
M9.25	AIC	52.83
M9.25	DAVID	9.433962264150944
M8.70	DF	64.29
M8.70	Ganesan	71.43
M8.70	LC	78.57
M8.70	PS	64.29
M8.70	Zhou	78.57
M8.70	Resnik	71.43
M8.70	Lin	71.43
M8.70	Nunivers	64.29
M8.70	AIC	64.29
M8.70	DAVID	7.142857142857142
M9.24	DF	66.00
M9.24	Ganesan	70.00
M9.24	LC	72.00
M9.24	PS	70.00
M9.24	Zhou	72.00
M9.24	Resnik	70.00
M9.24	Lin	64.00
M9.24	Nunivers	62.00
M9.24	AIC	66.00
M9.24	DAVID	36.0
M9.23	DF	60.00
M9.23	Ganesan	56.36
M9.23	LC	63.64
M9.23	PS	56.36
M9.23	Zhou	63.64
M9.23	Resnik	63.64
M9.23	Lin	50.91
M9.23	Nunivers	60.00
M9.23	AIC	61.82
M9.23	DAVID	27.27272727272727
M9.22	DF	58.62
M9.22	Ganesan	55.17
M9.22	LC	65.52
M9.22	PS	56.90
M9.22	Zhou	65.52
M9.22	Resnik	60.34
M9.22	Lin	56.90
M9.22	Nunivers	60.34
M9.22	AIC	56.90
M9.22	DAVID	32.758620689655174
M9.21	DF	55.38
M9.21	Ganesan	60.00
M9.21	LC	72.31
M9.21	PS	61.54
M9.21	Zhou	72.31
M9.21	Resnik	72.31
M9.21	Lin	67.69
M9.21	Nunivers	61.54
M9.21	AIC	55.38
M9.21	DAVID	20.0
M9.20	DF	58.21
M9.20	Ganesan	59.70
M9.20	LC	64.18
M9.20	PS	56.72
M9.20	Zhou	64.18
M9.20	Resnik	58.21
M9.20	Lin	59.70
M9.20	Nunivers	56.72
M9.20	AIC	59.70
M9.20	DAVID	20.8955223880597
M1.2	DF	74.07
M1.2	Ganesan	85.19
M1.2	LC	85.19
M1.2	PS	81.48
M1.2	Zhou	85.19
M1.2	Resnik	85.19
M1.2	Lin	81.48
M1.2	Nunivers	74.07
M1.2	AIC	81.48
M1.2	DAVID	74.07407407407408
M1.1	DF	68.60
M1.1	Ganesan	67.44
M1.1	LC	75.58
M1.1	PS	72.09
M1.1	Zhou	75.58
M1.1	Resnik	70.93
M1.1	Lin	70.93
M1.1	Nunivers	67.44
M1.1	AIC	73.26
M1.1	DAVID	40.69767441860465
M8.69	DF	71.43
M8.69	Ganesan	85.71
M8.69	LC	85.71
M8.69	PS	85.71
M8.69	Zhou	85.71
M8.69	Resnik	85.71
M8.69	Lin	71.43
M8.69	Nunivers	71.43
M8.69	AIC	71.43
M8.69	DAVID	57.14285714285714
M8.68	DF	28.57
M8.68	Ganesan	71.43
M8.68	LC	71.43
M8.68	PS	57.14
M8.68	Zhou	71.43
M8.68	Resnik	0.00
M8.68	Lin	35.71
M8.68	Nunivers	50.00
M8.68	AIC	71.43
M8.68	DAVID	14.285714285714285
M8.67	DF	66.67
M8.67	Ganesan	73.33
M8.67	LC	73.33
M8.67	PS	73.33
M8.67	Zhou	73.33
M8.67	Resnik	73.33
M8.67	Lin	66.67
M8.67	Nunivers	66.67
M8.67	AIC	66.67
M8.67	DAVID	20.0
M8.66	DF	72.73
M8.66	Ganesan	72.73
M8.66	LC	72.73
M8.66	PS	72.73
M8.66	Zhou	72.73
M8.66	Resnik	72.73
M8.66	Lin	0.00
M8.66	Nunivers	72.73
M8.66	AIC	72.73
M8.66	DAVID	0.0
M8.65	DF	41.67
M8.65	Ganesan	50.00
M8.65	LC	50.00
M8.65	PS	50.00
M8.65	Zhou	50.00
M8.65	Resnik	0.00
M8.65	Lin	50.00
M8.65	Nunivers	41.67
M8.65	AIC	50.00
M8.65	DAVID	0.0
M9.19	DF	55.56
M9.19	Ganesan	51.85
M9.19	LC	61.11
M9.19	PS	61.11
M9.19	Zhou	61.11
M9.19	Resnik	57.41
M9.19	Lin	50.00
M9.19	Nunivers	51.85
M9.19	AIC	53.70
M9.19	DAVID	7.4074074074074066
M8.64	DF	64.29
M8.64	Ganesan	71.43
M8.64	LC	78.57
M8.64	PS	71.43
M8.64	Zhou	78.57
M8.64	Resnik	71.43
M8.64	Lin	71.43
M8.64	Nunivers	71.43
M8.64	AIC	78.57
M8.64	DAVID	14.285714285714285
M9.18	DF	71.64
M9.18	Ganesan	74.63
M9.18	LC	74.63
M9.18	PS	74.63
M9.18	Zhou	74.63
M9.18	Resnik	74.63
M9.18	Lin	67.16
M9.18	Nunivers	74.63
M9.18	AIC	71.64
M9.18	DAVID	4.477611940298507
M8.63	DF	40.00
M8.63	Ganesan	60.00
M8.63	LC	73.33
M8.63	PS	66.67
M8.63	Zhou	73.33
M8.63	Resnik	60.00
M8.63	Lin	33.33
M8.63	Nunivers	53.33
M8.63	AIC	66.67
M8.63	DAVID	0.0
M9.17	DF	70.83
M9.17	Ganesan	68.06
M9.17	LC	73.61
M9.17	PS	68.06
M9.17	Zhou	73.61
M9.17	Resnik	70.83
M9.17	Lin	66.67
M9.17	Nunivers	69.44
M9.17	AIC	70.83
M9.17	DAVID	27.77777777777778
M8.62	DF	73.33
M8.62	Ganesan	80.00
M8.62	LC	80.00
M8.62	PS	80.00
M8.62	Zhou	80.00
M8.62	Resnik	80.00
M8.62	Lin	46.67
M8.62	Nunivers	73.33
M8.62	AIC	73.33
M8.62	DAVID	20.0
M9.16	DF	55.56
M9.16	Ganesan	66.67
M9.16	LC	66.67
M9.16	PS	66.67
M9.16	Zhou	66.67
M9.16	Resnik	63.89
M9.16	Lin	65.28
M9.16	Nunivers	48.61
M9.16	AIC	66.67
M9.16	DAVID	6.944444444444445
M8.61	DF	75.00
M8.61	Ganesan	87.50
M8.61	LC	93.75
M8.61	PS	93.75
M8.61	Zhou	93.75
M8.61	Resnik	81.25
M8.61	Lin	68.75
M8.61	Nunivers	87.50
M8.61	AIC	87.50
M8.61	DAVID	0.0
M9.15	DF	51.35
M9.15	Ganesan	51.35
M9.15	LC	55.41
